instance_id,p,paired_starts,expectation_p_target_median,threshold_p_target_median,delta_p_target_median,expectation_approx_ratio_median,threshold_approx_ratio_median,delta_approx_ratio_median
n12_d25_s17,2,5,0.15667474268394677,0.20901279336195946,0.002831427604117115,0.6061222488647008,0.627481927025197,-0.001356123458885361
n12_d25_s17,3,5,0.18754861614160862,0.2026616820283269,0.011244434389484581,0.6338761447193655,0.6269701895341944,0.0006180267587715393
n12_d25_s42,1,5,0.09521484375000006,0.15235029017993135,0.012615897434941972,0.5241935483870969,0.5623584855488404,0.010040185115744338
n12_d25_s42,2,5,0.15083267009971524,0.3041363280390543,0.10860510782277233,0.5642296299276326,0.6476985753375784,0.06005201627097312
n12_d25_s42,3,5,0.3227211556198536,0.2711412308337734,-0.08272175115382563,0.661094739911496,0.6278569632144269,-0.03092163217433419
n12_d50_s17,1,5,0.018312839849638222,0.01838652289600931,0.0007365092165925666,0.6837871000270399,0.6865026765310344,-0.0008904679595810316
n12_d50_s17,2,5,0.012728886471581572,0.01969684751737325,0.006781467774996681,0.6801340610802865,0.6746976901714512,-0.0054363709088353085
n12_d50_s17,3,5,0.018392305459763805,0.02218218049175699,0.003789875031993184,0.6926270281273232,0.6787363097610813,-0.012691094156573435
n12_d50_s42,1,5,0.015625000000001513,0.023258242034552054,0.007633242034550524,0.6093750000000044,0.6084144010174541,-0.00096059955935901
n12_d50_s42,2,5,0.0289740560409301,0.039999479171897584,0.004242430577349965,0.6393594360009847,0.6358656373002936,-0.00831249436532755
n12_d50_s42,3,5,0.032315043331866716,0.02932316673042853,-0.0016642232271478277,0.6374547234734873,0.619364312557957,-0.021111455185221506
n12_d75_s17,1,5,0.03222656249999971,0.03529877358405478,0.0019106142345900745,0.7374909479158673,0.7359724957213095,-0.002734850468205652
n12_d75_s17,2,5,0.0358148683331097,0.045201315032588445,0.00884840520639725,0.7425790602565601,0.7363047914262979,-0.006590091971698797
n12_d75_s17,3,5,0.03531467401422243,0.17913212693198927,0.01787256517475369,0.7429340917356777,0.8085960113296056,-0.005795381071296735
n12_d75_s42,1,5,0.01318359375,0.018607023118568693,0.005423429368567396,0.7173215986225158,0.7159200138636662,-0.0016535897398098909
n12_d75_s42,2,5,0.015335311922783881,0.02095000399159846,0.005300456148740421,0.7142008467745625,0.7155759516491602,-0.003445036769247678
n12_d75_s42,3,5,0.04676121589653181,0.021873010388722396,-0.027137055242632997,0.7313363844445989,0.7151532920989312,-0.019993852011445545
n8_d25_s17,1,5,0.5271613693490658,0.3670139727255509,0.008638702728757441,0.6563318988134534,0.5962144068775873,-0.019015361503270878
n8_d25_s17,2,5,0.5719295574455063,0.6732248440762132,0.14018275991240392,0.7063986553977235,0.7341335003906304,0.04852512783646312
n8_d25_s17,3,5,0.7490520364299142,0.7687626202145198,0.09099175322856023,0.727354986921022,0.7716371227966221,0.012303286758683862
n8_d25_s42,1,5,0.3284146551594749,0.39774766159964386,0.012330678130045125,0.704183788028595,0.7637343042584419,-0.005507000069864709
n8_d25_s42,2,5,0.6030622120559723,0.7693803339783987,0.04329018419822972,0.8418785035914998,0.8517082423325751,-0.009753068558227662
n8_d25_s42,3,5,0.7067208223092833,0.7065589231556968,0.03861501209081686,0.885702621088614,0.86903986417637,-0.005522189748422446
n8_d50_s17,1,5,0.06250000000000006,0.09697735972909277,0.0055287523890519275,0.6666666666666672,0.7051264192419759,-3.3306690738754696e-16
n8_d50_s17,2,5,0.15393583403222838,0.20439837835899693,0.0217193406645573,0.7727271218000386,0.7281451367364226,-0.025441552927258027
n8_d50_s17,3,5,0.16464718015203772,0.19448843961947854,0.046410173518940445,0.8068335923513847,0.7634520174847557,-0.02910183381993281
n8_d50_s42,1,5,0.04793550564332924,0.07417400326486022,0.027299003264860205,0.6799675435378533,0.6473238668104131,-0.03681179640575327
n8_d50_s42,2,5,0.04687500000000745,0.14949546708458236,0.08512280561558544,0.6416666666667157,0.6730204095881035,0.007971854577459747
n8_d50_s42,3,5,0.04687500000001345,0.20449230082039171,0.14788991343721722,0.6839425601288965,0.7072070078608997,0.0314314965175444
n8_d75_s17,1,5,0.11092359258440457,0.1500882778595592,0.004621048851150861,0.6939562194926275,0.6907879397855349,-0.0001242524632814046
n8_d75_s17,2,5,0.20238568890644737,0.18596774701354815,0.026226350619940608,0.705178368510592,0.6966253712496502,-0.010150236620670716
n8_d75_s17,3,5,0.14993795100563556,0.1982583076465098,0.04832035664087425,0.7083424422280182,0.6942666549659486,-0.014075787262069595
n8_d75_s42,1,5,0.07141545200444642,0.08974637114267747,0.022438015470030853,0.6816061433369317,0.6780638067624826,-0.003542336574449134
n8_d75_s42,2,5,0.16398604217782142,0.174170620245497,0.0248838160221114,0.7683548127520156,0.7161059373270205,-0.014817334863829412
n8_d75_s42,3,5,0.09479301070290815,0.17288972203878164,0.07233191367566616,0.6986302610893099,0.7057073467415332,0.006034421862762929
