instance_id,starts,best_ratio,median_ratio,q1_ratio,q3_ratio,optimum_hit_fraction,target_q090_hit_fraction,target_q095_hit_fraction,target_q100_hit_fraction,oper_l025_hit_fraction,oper_l040_hit_fraction,oper_l055_hit_fraction,coverage_group,family,n,seed,evidence_label
n8_d25_s17,64,1.0,0.975,0.975,1.0,0.453125,1.0,1.0,0.453125,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,8,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d75_s42,64,1.0,1.0,1.0,1.0,0.96875,0.96875,0.96875,0.96875,1.0,0.96875,0.96875,random_seed_expansion,random_fixed_density,8,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d75_s73,64,1.0,0.9513888888888888,0.9444444444444444,1.0,0.375,0.90625,0.5,0.375,1.0,1.0,0.84375,random_seed_expansion,random_fixed_density,8,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d75_s101,64,1.0,1.0,1.0,1.0,0.859375,1.0,0.921875,0.859375,1.0,0.96875,0.859375,random_seed_expansion,random_fixed_density,8,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n8_d75_s211,64,1.0,1.0,0.88,1.0,0.5625,0.5625,0.5625,0.5625,1.0,1.0,0.5625,random_seed_expansion,random_fixed_density,8,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d25_s17,64,1.0,1.0,0.864406779661017,1.0,0.59375,0.59375,0.59375,0.59375,1.0,0.96875,0.890625,random_seed_expansion,random_fixed_density,10,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d25_s42,64,1.0,1.0,0.94,1.0,0.625,0.90625,0.625,0.625,1.0,1.0,0.953125,random_seed_expansion,random_fixed_density,10,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d25_s73,64,1.0,0.9814814814814815,0.9814814814814815,1.0,0.453125,0.921875,0.921875,0.453125,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,10,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d25_s101,64,1.0,0.9787234042553191,0.9361702127659575,1.0,0.390625,1.0,0.734375,0.390625,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,10,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d25_s211,64,1.0,0.9210526315789473,0.9210526315789473,1.0,0.375,0.765625,0.375,0.375,1.0,1.0,0.765625,random_seed_expansion,random_fixed_density,10,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d50_s17,64,1.0,1.0,0.8857142857142857,1.0,0.59375,0.703125,0.703125,0.59375,1.0,0.703125,0.59375,random_seed_expansion,random_fixed_density,10,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d50_s42,64,1.0,1.0,0.8804347826086957,1.0,0.640625,0.640625,0.640625,0.640625,1.0,1.0,0.640625,random_seed_expansion,random_fixed_density,10,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d50_s73,64,1.0,1.0,0.9787234042553191,1.0,0.609375,0.953125,0.953125,0.609375,1.0,0.953125,0.953125,random_seed_expansion,random_fixed_density,10,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d50_s101,64,1.0,0.9871794871794872,0.9455128205128205,0.9903846153846154,0.25,0.9375,0.65625,0.25,1.0,0.875,0.0,random_seed_expansion,random_fixed_density,10,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d50_s211,64,1.0,1.0,0.9578947368421052,1.0,0.546875,0.890625,0.890625,0.546875,1.0,1.0,0.890625,random_seed_expansion,random_fixed_density,10,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d75_s17,64,1.0,0.9391304347826087,0.9304347826086956,1.0,0.28125,0.921875,0.34375,0.28125,1.0,0.28125,0.0,random_seed_expansion,random_fixed_density,10,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d75_s42,64,1.0,0.9402985074626866,0.9402985074626866,1.0,0.484375,0.796875,0.484375,0.484375,1.0,1.0,0.796875,random_seed_expansion,random_fixed_density,10,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d75_s73,64,1.0,1.0,0.9008264462809917,1.0,0.65625,0.765625,0.65625,0.65625,1.0,1.0,0.65625,random_seed_expansion,random_fixed_density,10,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d75_s101,64,1.0,0.9805825242718447,0.9611650485436893,1.0,0.421875,1.0,0.84375,0.421875,0.984375,0.0,0.0,random_seed_expansion,random_fixed_density,10,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n10_d75_s211,64,1.0,0.9904761904761905,0.9714285714285714,0.9904761904761905,0.234375,1.0,1.0,0.234375,1.0,1.0,0.578125,random_seed_expansion,random_fixed_density,10,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d25_s17,64,1.0,1.0,0.7901234567901234,1.0,0.609375,0.609375,0.609375,0.609375,1.0,1.0,0.734375,random_seed_expansion,random_fixed_density,12,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d25_s42,64,1.0,0.9032258064516129,0.8709677419354839,1.0,0.40625,0.625,0.484375,0.40625,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,12,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d25_s73,64,1.0,0.9833333333333333,0.9166666666666666,1.0,0.390625,0.84375,0.640625,0.390625,1.0,1.0,0.984375,random_seed_expansion,random_fixed_density,12,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d25_s101,64,1.0,0.9605263157894737,0.9342105263157895,0.9736842105263158,0.140625,0.9375,0.59375,0.140625,1.0,1.0,0.9375,random_seed_expansion,random_fixed_density,12,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d25_s211,64,1.0,1.0,0.9583333333333334,1.0,0.546875,0.796875,0.796875,0.546875,1.0,1.0,1.0,random_seed_expansion,random_fixed_density,12,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d50_s17,64,1.0,0.957983193277311,0.957983193277311,0.9915966386554622,0.203125,0.96875,0.921875,0.203125,1.0,0.953125,0.0,random_seed_expansion,random_fixed_density,12,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d50_s42,64,1.0,1.0,0.9765625,1.0,0.578125,0.828125,0.828125,0.578125,1.0,0.953125,0.828125,random_seed_expansion,random_fixed_density,12,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d50_s73,64,1.0,1.0,0.9144736842105263,1.0,0.5625,0.90625,0.5625,0.5625,1.0,0.828125,0.0,random_seed_expansion,random_fixed_density,12,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d50_s101,64,1.0,0.9774436090225563,0.9530075187969924,0.9774436090225563,0.1875,1.0,0.75,0.1875,1.0,1.0,0.1875,random_seed_expansion,random_fixed_density,12,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d50_s211,64,1.0,1.0,0.9844961240310077,1.0,0.515625,0.890625,0.890625,0.515625,1.0,0.9375,0.890625,random_seed_expansion,random_fixed_density,12,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d75_s17,64,1.0,0.9786585365853658,0.9573170731707317,0.9878048780487805,0.140625,1.0,0.84375,0.140625,1.0,0.953125,0.5,random_seed_expansion,random_fixed_density,12,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d75_s42,64,1.0,0.9771428571428571,0.9714285714285714,1.0,0.453125,0.9375,0.9375,0.453125,1.0,0.9375,0.453125,random_seed_expansion,random_fixed_density,12,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d75_s73,64,1.0,1.0,0.8924731182795699,1.0,0.546875,0.65625,0.640625,0.546875,0.984375,0.65625,0.546875,random_seed_expansion,random_fixed_density,12,73,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d75_s101,64,1.0,0.9705882352941176,0.9647058823529412,1.0,0.34375,0.875,0.84375,0.34375,1.0,0.984375,0.84375,random_seed_expansion,random_fixed_density,12,101,coverage-only classical sanity diagnostic; not a matched-resource comparison
n12_d75_s211,64,1.0,0.9943502824858758,0.9774011299435028,1.0,0.421875,0.984375,0.90625,0.421875,1.0,0.984375,0.84375,random_seed_expansion,random_fixed_density,12,211,coverage-only classical sanity diagnostic; not a matched-resource comparison
cycle_n8_s17,64,1.0,1.0,0.875,1.0,0.53125,0.53125,0.53125,0.53125,1.0,1.0,1.0,structured_family,cycle,8,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
cycle_n8_s42,64,1.0,0.9473684210526315,0.868421052631579,1.0,0.359375,0.65625,0.359375,0.359375,1.0,1.0,1.0,structured_family,cycle,8,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
cubic_circulant_n8_s17,64,1.0,1.0,0.9574468085106383,1.0,0.5625,1.0,0.875,0.5625,1.0,1.0,1.0,structured_family,cubic_circulant,8,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
cubic_circulant_n8_s42,64,1.0,0.8679245283018868,0.7924528301886793,1.0,0.4375,0.4375,0.4375,0.4375,1.0,1.0,0.703125,structured_family,cubic_circulant,8,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
two_community_n8_s17,64,1.0,0.9615384615384616,0.9615384615384616,1.0,0.375,0.78125,0.78125,0.375,1.0,1.0,0.78125,structured_family,two_community,8,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
two_community_n8_s42,64,1.0,1.0,0.9830508474576272,1.0,0.625,1.0,1.0,0.625,1.0,1.0,1.0,structured_family,two_community,8,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
cycle_n10_s17,64,1.0,0.9534883720930233,0.9534883720930233,1.0,0.34375,1.0,1.0,0.34375,1.0,1.0,1.0,structured_family,cycle,10,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
cycle_n10_s42,64,1.0,0.9512195121951219,0.8780487804878049,0.9512195121951219,0.140625,0.703125,0.703125,0.140625,1.0,1.0,1.0,structured_family,cycle,10,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
cubic_circulant_n10_s17,64,1.0,1.0,0.8450704225352113,1.0,0.609375,0.609375,0.609375,0.609375,1.0,0.96875,0.890625,structured_family,cubic_circulant,10,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
cubic_circulant_n10_s42,64,1.0,1.0,1.0,1.0,0.8125,0.8125,0.8125,0.8125,1.0,1.0,0.90625,structured_family,cubic_circulant,10,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
two_community_n10_s17,64,1.0,0.971830985915493,0.9647887323943662,1.0,0.453125,1.0,0.75,0.453125,1.0,0.75,0.0,structured_family,two_community,10,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
two_community_n10_s42,64,1.0,0.9819277108433735,0.9518072289156626,1.0,0.5,0.890625,0.859375,0.5,1.0,0.71875,0.0,structured_family,two_community,10,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
cycle_n12_s17,64,1.0,0.9615384615384616,0.9038461538461539,1.0,0.390625,1.0,0.734375,0.390625,1.0,1.0,1.0,structured_family,cycle,12,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
cycle_n12_s42,64,1.0,0.9636363636363636,0.9090909090909091,0.9636363636363636,0.09375,0.921875,0.609375,0.09375,1.0,1.0,1.0,structured_family,cycle,12,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
cubic_circulant_n12_s17,64,1.0,1.0,0.9625,1.0,0.609375,0.875,0.875,0.609375,1.0,1.0,0.96875,structured_family,cubic_circulant,12,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
cubic_circulant_n12_s42,64,1.0,0.9715909090909092,0.8977272727272727,1.0,0.5,0.703125,0.5,0.5,1.0,1.0,0.96875,structured_family,cubic_circulant,12,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
two_community_n12_s17,64,1.0,0.9724770642201835,0.8990825688073395,0.981651376146789,0.234375,0.734375,0.6875,0.234375,1.0,0.921875,0.6875,structured_family,two_community,12,17,coverage-only classical sanity diagnostic; not a matched-resource comparison
two_community_n12_s42,64,1.0,0.9829059829059829,0.9743589743589743,1.0,0.265625,1.0,0.90625,0.265625,1.0,1.0,0.96875,structured_family,two_community,12,42,coverage-only classical sanity diagnostic; not a matched-resource comparison
