instance_id,p,optimizer,runs,approx_ratio_median,approx_ratio_q1,approx_ratio_q3,p_opt_exact_median,objective_evaluations_median,budget_exhausted_fraction
n10_d50_s17,3,COBYLA,5,0.7703091825506088,0.7535477863714862,0.7777693133035168,0.01941103115663226,128.0,1.0
n10_d50_s17,3,L-BFGS-B,5,0.6820630971004716,0.6779059137039819,0.6869275139770546,0.008035328915831787,128.0,1.0
n10_d50_s42,1,COBYLA,5,0.6170303194237341,0.6135543044944053,0.6176451571711433,0.0017497348985862995,74.0,0.2
n10_d50_s42,1,L-BFGS-B,5,0.5906697911549935,0.581521739130435,0.6176451574184879,0.0017498104493254682,42.0,0.0
n10_d50_s42,2,COBYLA,5,0.6138506571742858,0.6119468835023918,0.6356547786084523,0.0015624571723926622,128.0,1.0
n10_d50_s42,2,L-BFGS-B,5,0.5815217391305363,0.5815217391304806,0.5899129307647242,0.0019531250000000017,25.0,0.2
n10_d50_s42,3,COBYLA,5,0.6187233869005331,0.6166118918707011,0.6229996998714739,0.00262583774526725,128.0,1.0
n10_d50_s42,3,L-BFGS-B,5,0.6033384375071141,0.5815217391305079,0.6192743823234663,0.001953125000003157,128.0,0.6
n10_d75_s17,1,COBYLA,5,0.7248794294333499,0.7195326360327449,0.7280942404731523,0.0044210746105333674,128.0,0.8
n10_d75_s17,1,L-BFGS-B,5,0.7159622297256991,0.7043478260870781,0.7281029242980214,0.004212653825259294,54.0,0.0
n10_d75_s17,2,COBYLA,5,0.7288794506306985,0.7164379879517682,0.7322196261174766,0.005764429546979549,128.0,1.0
n10_d75_s17,2,L-BFGS-B,5,0.7199011400588985,0.7174292789114719,0.726900900557046,0.0036961741810734115,128.0,0.6
n10_d75_s17,3,COBYLA,5,0.7370176906738353,0.7243884806948754,0.7508307156318702,0.00387658865114113,128.0,1.0
n10_d75_s17,3,L-BFGS-B,5,0.7231931387384647,0.7043478260870202,0.7237250083071382,0.0039062500000036394,128.0,0.6
n10_d75_s42,1,COBYLA,5,0.6943734464898907,0.6929476814901674,0.6951545443725846,0.0027348629432438266,128.0,0.8
n10_d75_s42,1,L-BFGS-B,5,0.6905866310288183,0.687842111058514,0.6929477083185199,0.0019531249999999844,36.0,0.0
n10_d75_s42,2,COBYLA,5,0.6967366027161437,0.6917110380365191,0.6982031812209937,0.0010793632170532457,128.0,1.0
n10_d75_s42,2,L-BFGS-B,5,0.6989564521993573,0.6791044776119411,0.7265943576611082,0.0019531250000000035,105.0,0.2
n10_d75_s42,3,COBYLA,5,0.7390074626924554,0.7055661230674782,0.7707428325671346,0.004379747996778686,128.0,1.0
n10_d75_s42,3,L-BFGS-B,5,0.7048013489362488,0.6963503173126542,0.7234363308984562,0.001790148857916932,128.0,1.0
n12_d25_s17,1,COBYLA,5,0.6306536534202124,0.6079163464918473,0.6960257937830158,0.011318800213155743,124.0,0.4
n12_d25_s17,1,L-BFGS-B,5,0.5692339185396755,0.5370370370370481,0.6009507041853622,0.0009765625000002303,45.0,0.0
n12_d25_s17,2,COBYLA,5,0.6312627174244336,0.608324507460884,0.6455379775399874,0.0020784390155774725,128.0,1.0
n12_d25_s17,2,L-BFGS-B,5,0.6212960395159962,0.603404129874257,0.6493608712983152,0.002488533332474315,125.0,0.4
n12_d25_s17,3,COBYLA,5,0.6453567797742965,0.6190544793573736,0.6582628266245372,0.018374331852971913,128.0,1.0
n12_d25_s17,3,L-BFGS-B,5,0.6268194373606784,0.6084468222436692,0.7220702934435937,0.00792794308116013,128.0,1.0
n12_d25_s42,1,COBYLA,5,0.5891619696311455,0.5729316582774878,0.7202741005280887,0.0004600826843601842,100.0,0.4
n12_d25_s42,1,L-BFGS-B,5,0.5241935483871034,0.524193548387103,0.5498394204270274,0.0004882812500000572,12.0,0.0
n12_d25_s42,2,COBYLA,5,0.6008130938349583,0.5996581919432861,0.6602145746404732,0.0013428095831629914,128.0,0.8
n12_d25_s42,2,L-BFGS-B,5,0.5944892779835966,0.5241935483871187,0.6720816641009144,0.0005100051542051834,105.0,0.4
n12_d25_s42,3,COBYLA,5,0.6246880924061282,0.6225454249505008,0.6351463594363047,0.0011918816760006813,128.0,1.0
n12_d25_s42,3,L-BFGS-B,5,0.524193548387114,0.5241935483870976,0.620739149772769,0.00048828125000016,35.0,0.4
n12_d50_s17,1,COBYLA,5,0.6868732810537401,0.6865644666342591,0.7215485071105209,0.0008499702420191805,128.0,0.8
n12_d50_s17,1,L-BFGS-B,5,0.7199052410794697,0.6954926138253316,0.7199052410794702,0.00025991505886475876,66.0,0.0
n12_d50_s17,2,COBYLA,5,0.6969705266805383,0.6931587929492705,0.8312931087446459,0.0005666100523695993,128.0,1.0
n12_d50_s17,2,L-BFGS-B,5,0.6967505010126122,0.6839822841343703,0.7090731100791785,0.000664496543666419,125.0,0.4
n12_d50_s17,3,COBYLA,5,0.6992987125294327,0.6901443958731666,0.7465604567461204,0.0008565468828327252,128.0,1.0
n12_d50_s17,3,L-BFGS-B,5,0.6871583873894986,0.6788013662515324,0.718332150501111,0.0002899956037438993,128.0,1.0
n12_d50_s42,1,COBYLA,5,0.6332933739509548,0.6283458922165042,0.6382432061241633,0.0005397388557164866,128.0,0.6
n12_d50_s42,1,L-BFGS-B,5,0.6332969467386931,0.6271011396173258,0.6343434330620437,0.0005359596190404934,42.0,0.0
n12_d50_s42,2,COBYLA,5,0.6395880382931948,0.6324508575778836,0.6437517861004876,0.0009679862130797168,128.0,1.0
n12_d50_s42,2,L-BFGS-B,5,0.6397339983291299,0.63471797290506,0.6478252365187992,0.0009878551012910877,90.0,0.4
n12_d50_s42,3,COBYLA,5,0.6524920991480991,0.6382873366330364,0.7434218273239817,0.0006994315694040064,128.0,1.0
n12_d50_s42,3,L-BFGS-B,5,0.6283459216446023,0.6222937869779996,0.6372550142182849,0.0006671773733603821,128.0,0.6
n12_d75_s17,1,COBYLA,5,0.7500703375064316,0.7407477025583215,0.8461258161632081,0.0012506507353181586,128.0,0.8
n12_d75_s17,1,L-BFGS-B,5,0.7500716702058335,0.7371930839617127,0.7500716702058788,0.0012571694736851244,48.0,0.0
n12_d75_s17,2,COBYLA,5,0.7443255314386955,0.7401819889225429,0.7488732150243879,0.00044744846997021024,128.0,1.0
n12_d75_s17,2,L-BFGS-B,5,0.7415056076070202,0.7405937524110769,0.7452587968694699,0.0003611977195278353,128.0,0.8
n12_d75_s17,3,COBYLA,5,0.747453230939143,0.745128144225133,0.7481888408552989,0.0010270627911981856,128.0,1.0
n12_d75_s17,3,L-BFGS-B,5,0.7449499596809022,0.7422586729318246,0.75135676112866,0.0007161037975499169,128.0,1.0
n12_d75_s42,1,COBYLA,5,0.7154390611924544,0.715290713920249,0.7195224435327704,0.00029155872082158035,128.0,0.8
n12_d75_s42,1,L-BFGS-B,5,0.7114285714285958,0.7114285714285717,0.7154693934611891,0.0004882812499999435,27.0,0.0
n12_d75_s42,2,COBYLA,5,0.7184609692501981,0.7179464139376219,0.7254720130739266,0.0004438817208589801,128.0,1.0
n12_d75_s42,2,L-BFGS-B,5,0.7157640243966762,0.715439993415807,0.7186097735303834,0.00029344370400946455,128.0,0.6
n12_d75_s42,3,COBYLA,5,0.7196843478517623,0.7189037712379173,0.7210056788349828,0.00019001521403061948,128.0,1.0
n12_d75_s42,3,L-BFGS-B,5,0.720766994695465,0.7196654101303156,0.7229226346877639,0.0005672036192834285,128.0,1.0
n8_d25_s17,1,COBYLA,5,0.6563318988127556,0.5960562616854427,0.6876123047992803,0.023328323440572268,55.0,0.0
n8_d25_s17,1,L-BFGS-B,5,0.500000000000026,0.5000000000000002,0.5000000000000394,0.007812500000002286,15.0,0.0
n8_d25_s17,2,COBYLA,5,0.699857612657118,0.6789480941296366,0.8061431839199142,0.05968029108248698,128.0,1.0
n8_d25_s17,2,L-BFGS-B,5,0.6979718113006582,0.6726526020997476,0.6998642697114718,0.01732419452629431,120.0,0.2
n8_d25_s17,3,COBYLA,5,0.6906440352747178,0.6853337840316465,0.773376876619043,0.03741291482614635,128.0,1.0
n8_d25_s17,3,L-BFGS-B,5,0.7561141180803895,0.7273105412972546,0.7653629507653389,0.03888336289182175,128.0,1.0
n8_d25_s42,1,COBYLA,5,0.7614259672559481,0.7553080708620696,0.7679711597151653,0.021245711372540173,81.0,0.0
n8_d25_s42,1,L-BFGS-B,5,0.6129032258066831,0.6129032258065094,0.6972547026398468,0.031250000000000014,21.0,0.0
n8_d25_s42,2,COBYLA,5,0.8476126551403435,0.8439725268393241,0.8504046794391217,0.025738267131022317,128.0,1.0
n8_d25_s42,2,L-BFGS-B,5,0.8421328284350295,0.7676516223013368,0.8667378671429369,0.031250000000000014,110.0,0.2
n8_d25_s42,3,COBYLA,5,0.8573690639906366,0.8388384093885245,0.8624692616352015,0.036011718547662,128.0,1.0
n8_d25_s42,3,L-BFGS-B,5,0.8198133901463912,0.8092957352484675,0.858985336886395,0.06786952621831052,128.0,0.8
n8_d50_s17,1,COBYLA,5,0.7421207341533153,0.7267656133234035,0.7496594410847947,0.02871949028145574,128.0,0.6
n8_d50_s17,1,L-BFGS-B,5,0.7267656145430846,0.7267656145430816,0.7286848446510391,0.018217363823279882,48.0,0.0
n8_d50_s17,2,COBYLA,5,0.7741484775658215,0.7737465147008951,0.7816218134391909,0.037617888129093835,128.0,1.0
n8_d50_s17,2,L-BFGS-B,5,0.7680484347552531,0.7064366337721406,0.8179946919095031,0.03646329683074121,100.0,0.0
n8_d50_s17,3,COBYLA,5,0.7845453069386472,0.7534222498889789,0.7875829806775604,0.028494201020016374,128.0,1.0
n8_d50_s17,3,L-BFGS-B,5,0.692125200457593,0.6666666666669276,0.7608351816835852,0.015625000000035198,128.0,0.6
n8_d50_s42,1,COBYLA,5,0.6954664621509539,0.694459465997524,0.7173034856164168,0.030342395976705988,128.0,0.6
n8_d50_s42,1,L-BFGS-B,5,0.6416666666667683,0.6416666666666967,0.6737741339526312,0.01562500000000471,24.0,0.0
n8_d50_s42,2,COBYLA,5,0.7004500949191171,0.6867482632112207,0.7344867568823242,0.011398427245374619,128.0,1.0
n8_d50_s42,2,L-BFGS-B,5,0.7372907995418347,0.7336742243343993,0.7647989612348634,0.055479034766215726,128.0,0.6
n8_d50_s42,3,COBYLA,5,0.7243867863482999,0.7233422530042783,0.7385796870606143,0.062398981544065014,128.0,1.0
n8_d50_s42,3,L-BFGS-B,5,0.6416666666668048,0.6416666666667332,0.6496958657542862,0.015625000000021268,35.0,0.2
n8_d75_s17,1,COBYLA,5,0.7118762482519347,0.6998839618011229,0.7121916242255926,0.011942046521594545,128.0,0.6
n8_d75_s17,1,L-BFGS-B,5,0.6998839618207411,0.6929360123903013,0.7049120104836596,0.011942299138252994,45.0,0.0
n8_d75_s17,2,COBYLA,5,0.705536670510121,0.6956427620468242,0.7215338031128509,0.011541996216673012,128.0,1.0
n8_d75_s17,2,L-BFGS-B,5,0.7211847422171989,0.7186187773642293,0.7226348622217864,0.007812499999999998,115.0,0.4
n8_d75_s17,3,COBYLA,5,0.7092109230449856,0.706388948694538,0.7124520441116095,0.0137817390572923,128.0,1.0
n8_d75_s17,3,L-BFGS-B,5,0.7066132371959725,0.661111111111179,0.7100077227512361,0.00781250000000001,128.0,0.6
n8_d75_s42,1,COBYLA,5,0.7025965273369931,0.6865773705335829,0.7197378887917916,0.031077363429857098,128.0,0.8
n8_d75_s42,1,L-BFGS-B,5,0.6684782608695655,0.6684782608695655,0.6684782608696245,0.007812500000000003,24.0,0.0
n8_d75_s42,2,COBYLA,5,0.7124000588103078,0.7020700382719481,0.767114304705738,0.0395861069561466,128.0,1.0
n8_d75_s42,2,L-BFGS-B,5,0.69269763766176,0.6799404589362023,0.7105753071683063,0.014971103862677766,128.0,0.6
n8_d75_s42,3,COBYLA,5,0.7250118711987084,0.7184094172978565,0.7263023506228434,0.0259105781603249,128.0,1.0
n8_d75_s42,3,L-BFGS-B,5,0.7023603944918608,0.6960907938860517,0.7110041451722244,0.034104835189466005,128.0,0.8
