instance_id,n,density_target,seed,i,j,w
n8_d75_s17,8,0.75,17,4,7,3
n8_d75_s17,8,0.75,17,0,6,8
n8_d75_s17,8,0.75,17,3,7,3
n8_d75_s17,8,0.75,17,3,5,9
n8_d75_s42,8,0.75,42,2,5,3
n8_d75_s42,8,0.75,42,5,6,3
n8_d75_s42,8,0.75,42,4,7,8
n8_d75_s42,8,0.75,42,1,2,2
n8_d75_s42,8,0.75,42,2,6,8
n8_d75_s42,8,0.75,42,0,2,9
n8_d75_s42,8,0.75,42,0,5,8
n8_d75_s42,8,0.75,42,3,6,7
n8_d75_s42,8,0.75,42,1,4,2
n8_d75_s42,8,0.75,42,2,3,5
n8_d75_s42,8,0.75,42,0,6,5
n8_d75_s42,8,0.75,42,1,3,9
n8_d75_s42,8,0.75,42,2,7,3
n8_d75_s42,8,0.75,42,0,3,2
n8_d75_s42,8,0.75,42,0,4,7
n8_d75_s42,8,0.75,42,3,5,9
n8_d75_s42,8,0.75,42,4,6,4
n8_d75_s42,8,0.75,42,3,4,9
n8_d75_s42,8,0.75,42,0,1,6
n8_d75_s42,8,0.75,42,1,5,7
n8_d75_s42,8,0.75,42,6,7,7
n10_d25_s17,10,0.25,17,0,7,6
n10_d25_s17,10,0.25,17,4,5,2
n10_d25_s17,10,0.25,17,5,9,7
n10_d25_s17,10,0.25,17,0,5,5
n10_d25_s17,10,0.25,17,6,9,7
n10_d25_s17,10,0.25,17,8,9,1
n10_d25_s17,10,0.25,17,7,9,6
n10_d25_s17,10,0.25,17,1,8,6
n10_d25_s17,10,0.25,17,3,9,5
n10_d25_s17,10,0.25,17,0,3,7
n10_d25_s17,10,0.25,17,1,6,7
n10_d25_s42,10,0.25,42,3,6,7
n10_d25_s42,10,0.25,42,1,3,5
n10_d25_s42,10,0.25,42,7,8,2
n10_d25_s42,10,0.25,42,1,6,3
n10_d25_s42,10,0.25,42,1,7,6
n10_d25_s42,10,0.25,42,8,9,8
n10_d25_s42,10,0.25,42,0,9,1
n10_d25_s42,10,0.25,42,0,4,8
n10_d25_s42,10,0.25,42,5,7,8
n10_d25_s42,10,0.25,42,0,6,3
n10_d25_s42,10,0.25,42,6,8,4
n10_d50_s17,10,0.5,17,8,9,2
n10_d50_s17,10,0.5,17,4,7,1
n10_d50_s17,10,0.5,17,2,3,2
n10_d50_s17,10,0.5,17,1,3,2
n10_d50_s17,10,0.5,17,3,5,2
n10_d50_s17,10,0.5,17,3,7,9
n10_d50_s17,10,0.5,17,1,9,5
n10_d50_s17,10,0.5,17,6,9,1
n10_d50_s17,10,0.5,17,3,8,8
n10_d50_s17,10,0.5,17,7,9,3
n10_d50_s17,10,0.5,17,2,9,4
n10_d50_s17,10,0.5,17,3,9,9
n10_d50_s17,10,0.5,17,1,4,8
n10_d50_s17,10,0.5,17,3,4,4
n10_d50_s17,10,0.5,17,2,7,3
n10_d50_s17,10,0.5,17,7,8,6
n10_d50_s17,10,0.5,17,0,3,1
n10_d50_s17,10,0.5,17,1,7,1
n10_d50_s17,10,0.5,17,0,8,8
n10_d50_s17,10,0.5,17,1,5,3
n10_d50_s17,10,0.5,17,6,8,5
n10_d50_s17,10,0.5,17,4,5,2
n10_d50_s42,10,0.5,42,4,7,4
n10_d50_s42,10,0.5,42,2,9,3
n10_d50_s42,10,0.5,42,1,7,8
n10_d50_s42,10,0.5,42,0,9,1
n10_d50_s42,10,0.5,42,1,8,4
n10_d50_s42,10,0.5,42,3,7,9
n10_d50_s42,10,0.5,42,1,2,7
n10_d50_s42,10,0.5,42,5,8,4
n10_d50_s42,10,0.5,42,4,8,6
n10_d50_s42,10,0.5,42,0,2,6
n10_d50_s42,10,0.5,42,0,3,1
n10_d50_s42,10,0.5,42,6,9,3
n10_d50_s42,10,0.5,42,2,7,2
n10_d50_s42,10,0.5,42,2,6,6
n10_d50_s42,10,0.5,42,0,5,4
n10_d50_s42,10,0.5,42,4,9,5
n10_d50_s42,10,0.5,42,2,8,6
n10_d50_s42,10,0.5,42,0,4,9
n10_d50_s42,10,0.5,42,5,9,3
n10_d50_s42,10,0.5,42,7,9,6
n10_d50_s42,10,0.5,42,3,4,2
n10_d50_s42,10,0.5,42,2,3,8
n10_d75_s17,10,0.75,17,0,1,4
n10_d75_s17,10,0.75,17,1,3,3
n10_d75_s17,10,0.75,17,0,6,1
n10_d75_s17,10,0.75,17,7,9,9
n10_d75_s17,10,0.75,17,2,8,8
n10_d75_s17,10,0.75,17,7,8,5
n10_d75_s17,10,0.75,17,0,7,8
n10_d75_s17,10,0.75,17,3,9,1
n10_d75_s17,10,0.75,17,8,9,7
n10_d75_s17,10,0.75,17,1,6,6
n10_d75_s17,10,0.75,17,1,2,1
n10_d75_s17,10,0.75,17,4,7,9
n10_d75_s17,10,0.75,17,0,9,3
n10_d75_s17,10,0.75,17,0,8,7
n10_d75_s17,10,0.75,17,0,3,5
n10_d75_s17,10,0.75,17,6,9,4
n10_d75_s17,10,0.75,17,3,5,2
n10_d75_s17,10,0.75,17,1,4,2
n10_d75_s17,10,0.75,17,2,7,8
n10_d75_s17,10,0.75,17,5,9,2
n10_d75_s17,10,0.75,17,1,9,1
n10_d75_s17,10,0.75,17,2,5,9
n10_d75_s17,10,0.75,17,3,7,8
n10_d75_s17,10,0.75,17,5,7,8
n10_d75_s17,10,0.75,17,2,4,1
n10_d75_s17,10,0.75,17,0,2,2
n10_d75_s17,10,0.75,17,4,8,5
n10_d75_s17,10,0.75,17,2,3,4
n10_d75_s17,10,0.75,17,1,8,9
n10_d75_s17,10,0.75,17,4,5,9
n10_d75_s17,10,0.75,17,3,4,1
n10_d75_s17,10,0.75,17,3,6,4
n10_d75_s17,10,0.75,17,2,9,5
n10_d75_s17,10,0.75,17,0,4,1
n10_d75_s42,10,0.75,42,1,5,4
n10_d75_s42,10,0.75,42,2,6,9
n10_d75_s42,10,0.75,42,3,5,6
n10_d75_s42,10,0.75,42,6,7,6
n10_d75_s42,10,0.75,42,8,9,8
n10_d75_s42,10,0.75,42,4,5,9
n10_d75_s42,10,0.75,42,3,7,9
n10_d75_s42,10,0.75,42,5,9,1
n10_d75_s42,10,0.75,42,7,9,1
n10_d75_s42,10,0.75,42,0,8,2
n10_d75_s42,10,0.75,42,0,9,6
n10_d75_s42,10,0.75,42,1,7,7
n10_d75_s42,10,0.75,42,0,4,9
n10_d75_s42,10,0.75,42,5,6,6
n10_d75_s42,10,0.75,42,1,4,4
n10_d75_s42,10,0.75,42,3,8,5
n10_d75_s42,10,0.75,42,2,7,9
n10_d75_s42,10,0.75,42,4,6,1
n10_d75_s42,10,0.75,42,0,1,3
n10_d75_s42,10,0.75,42,0,3,2
n10_d75_s42,10,0.75,42,6,9,4
n10_d75_s42,10,0.75,42,3,6,2
n10_d75_s42,10,0.75,42,4,7,1
n10_d75_s42,10,0.75,42,2,8,7
n10_d75_s42,10,0.75,42,1,6,8
n10_d75_s42,10,0.75,42,0,5,7
n10_d75_s42,10,0.75,42,2,4,4
n10_d75_s42,10,0.75,42,2,9,8
n10_d75_s42,10,0.75,42,6,8,7
n10_d75_s42,10,0.75,42,0,6,5
n10_d75_s42,10,0.75,42,5,8,6
n10_d75_s42,10,0.75,42,4,8,9
n10_d75_s42,10,0.75,42,3,4,4
n10_d75_s42,10,0.75,42,1,9,3
n12_d25_s17,12,0.25,17,8,11,9
n12_d25_s17,12,0.25,17,3,4,2
n12_d25_s17,12,0.25,17,2,11,1
n12_d25_s17,12,0.25,17,8,9,9
n12_d25_s17,12,0.25,17,3,7,8
n12_d25_s17,12,0.25,17,4,10,6
n12_d25_s17,12,0.25,17,1,2,2
n12_d25_s17,12,0.25,17,4,5,6
n12_d25_s17,12,0.25,17,7,10,5
n12_d25_s17,12,0.25,17,5,8,6
n12_d25_s17,12,0.25,17,4,8,6
n12_d25_s17,12,0.25,17,1,3,9
n12_d25_s17,12,0.25,17,0,1,4
n12_d25_s17,12,0.25,17,1,10,3
n12_d25_s17,12,0.25,17,3,5,3
n12_d25_s17,12,0.25,17,3,11,8
n12_d25_s42,12,0.25,42,3,9,1
n12_d25_s42,12,0.25,42,1,3,1
n12_d25_s42,12,0.25,42,2,9,5
n12_d25_s42,12,0.25,42,7,11,7
n12_d25_s42,12,0.25,42,0,4,7
n12_d25_s42,12,0.25,42,5,6,6
n12_d25_s42,12,0.25,42,4,5,5
n12_d25_s42,12,0.25,42,0,9,2
n12_d25_s42,12,0.25,42,1,9,1
n12_d25_s42,12,0.25,42,3,5,8
n12_d25_s42,12,0.25,42,6,10,1
n12_d25_s42,12,0.25,42,6,7,1
n12_d25_s42,12,0.25,42,0,7,3
n12_d25_s42,12,0.25,42,3,8,3
n12_d25_s42,12,0.25,42,5,7,5
n12_d25_s42,12,0.25,42,10,11,9
n12_d50_s17,12,0.5,17,6,9,5
n12_d50_s17,12,0.5,17,0,5,9
n12_d50_s17,12,0.5,17,2,7,5
n12_d50_s17,12,0.5,17,6,7,1
n12_d50_s17,12,0.5,17,3,8,2
n12_d50_s17,12,0.5,17,1,11,9
n12_d50_s17,12,0.5,17,5,9,4
n12_d50_s17,12,0.5,17,1,7,7
n12_d50_s17,12,0.5,17,3,7,9
n12_d50_s17,12,0.5,17,1,9,2
n12_d50_s17,12,0.5,17,3,4,8
n12_d50_s17,12,0.5,17,2,9,7
n12_d50_s17,12,0.5,17,7,8,4
n12_d50_s17,12,0.5,17,2,4,4
n12_d50_s17,12,0.5,17,2,11,2
n12_d50_s17,12,0.5,17,1,5,1
n12_d50_s17,12,0.5,17,4,11,1
n12_d50_s17,12,0.5,17,7,11,2
n12_d50_s17,12,0.5,17,3,10,7
n12_d50_s17,12,0.5,17,4,6,6
n12_d50_s17,12,0.5,17,1,6,2
n12_d50_s17,12,0.5,17,1,3,8
n12_d50_s17,12,0.5,17,0,10,6
n12_d50_s17,12,0.5,17,2,8,7
n12_d50_s17,12,0.5,17,5,8,8
n12_d50_s17,12,0.5,17,2,10,4
n12_d50_s17,12,0.5,17,3,9,3
n12_d50_s17,12,0.5,17,9,10,1
n12_d50_s17,12,0.5,17,2,3,8
n12_d50_s17,12,0.5,17,0,9,2
n12_d50_s17,12,0.5,17,3,11,2
n12_d50_s17,12,0.5,17,0,8,8
n12_d50_s17,12,0.5,17,0,6,6
n12_d50_s42,12,0.5,42,4,10,4
n12_d50_s42,12,0.5,42,4,7,4
n12_d50_s42,12,0.5,42,3,6,6
n12_d50_s42,12,0.5,42,0,10,7
n12_d50_s42,12,0.5,42,0,5,4
n12_d50_s42,12,0.5,42,0,11,2
n12_d50_s42,12,0.5,42,7,11,5
n12_d50_s42,12,0.5,42,3,8,1
n12_d50_s42,12,0.5,42,5,6,3
n12_d50_s42,12,0.5,42,5,11,5
n12_d50_s42,12,0.5,42,3,11,6
n12_d50_s42,12,0.5,42,0,1,2
n12_d50_s42,12,0.5,42,1,7,8
n12_d50_s42,12,0.5,42,6,8,2
n12_d50_s42,12,0.5,42,2,9,8
n12_d50_s42,12,0.5,42,1,8,7
n12_d50_s42,12,0.5,42,3,5,3
n12_d50_s42,12,0.5,42,5,8,7
n12_d50_s42,12,0.5,42,4,5,6
n12_d50_s42,12,0.5,42,7,10,6
n12_d50_s42,12,0.5,42,3,10,9
n12_d50_s42,12,0.5,42,2,5,9
n12_d50_s42,12,0.5,42,1,3,1
n12_d50_s42,12,0.5,42,5,9,8
n12_d50_s42,12,0.5,42,1,5,3
n12_d50_s42,12,0.5,42,3,7,1
n12_d50_s42,12,0.5,42,8,10,7
n12_d50_s42,12,0.5,42,5,7,3
n12_d50_s42,12,0.5,42,6,7,7
n12_d50_s42,12,0.5,42,9,11,3
n12_d50_s42,12,0.5,42,2,3,5
n12_d50_s42,12,0.5,42,4,9,2
n12_d50_s42,12,0.5,42,6,9,2
n12_d75_s17,12,0.75,17,7,10,1
n12_d75_s17,12,0.75,17,10,11,4
n12_d75_s17,12,0.75,17,3,8,7
n12_d75_s17,12,0.75,17,4,11,9
n12_d75_s17,12,0.75,17,2,4,2
n12_d75_s17,12,0.75,17,3,11,7
n12_d75_s17,12,0.75,17,1,8,6
n12_d75_s17,12,0.75,17,2,11,1
n12_d75_s17,12,0.75,17,4,5,5
n12_d75_s17,12,0.75,17,5,10,3
n12_d75_s17,12,0.75,17,0,4,7
n12_d75_s17,12,0.75,17,6,11,5
n12_d75_s17,12,0.75,17,1,10,6
n12_d75_s17,12,0.75,17,4,6,3
n12_d75_s17,12,0.75,17,0,2,4
n12_d75_s17,12,0.75,17,3,6,2
n12_d75_s17,12,0.75,17,0,6,8
n12_d75_s17,12,0.75,17,9,10,5
n12_d75_s17,12,0.75,17,8,9,4
n12_d75_s17,12,0.75,17,1,9,3
n12_d75_s17,12,0.75,17,3,4,4
n12_d75_s17,12,0.75,17,2,8,2
n12_d75_s17,12,0.75,17,0,8,7
n12_d75_s17,12,0.75,17,2,5,9
n12_d75_s17,12,0.75,17,1,7,5
n12_d75_s17,12,0.75,17,0,1,6
n12_d75_s17,12,0.75,17,4,10,7
n12_d75_s17,12,0.75,17,6,7,7
n12_d75_s17,12,0.75,17,9,11,8
n12_d75_s17,12,0.75,17,0,3,6
n12_d75_s17,12,0.75,17,8,11,2
n12_d75_s17,12,0.75,17,4,9,7
n12_d75_s17,12,0.75,17,3,7,7
n12_d75_s17,12,0.75,17,7,11,6
n12_d75_s17,12,0.75,17,0,7,3
n12_d75_s17,12,0.75,17,4,8,1
n12_d75_s17,12,0.75,17,7,9,5
n12_d75_s17,12,0.75,17,2,10,5
n12_d75_s17,12,0.75,17,0,9,1
n12_d75_s17,12,0.75,17,1,2,3
n12_d75_s17,12,0.75,17,1,3,5
n12_d75_s17,12,0.75,17,5,9,1
n12_d75_s17,12,0.75,17,7,8,3
n12_d75_s17,12,0.75,17,0,5,2
n12_d75_s17,12,0.75,17,3,9,3
n12_d75_s17,12,0.75,17,1,6,3
n12_d75_s17,12,0.75,17,6,9,8
n12_d75_s17,12,0.75,17,5,7,7
n12_d75_s17,12,0.75,17,6,10,7
n12_d75_s17,12,0.75,17,3,10,9
n12_d75_s42,12,0.75,42,3,5,6
n12_d75_s42,12,0.75,42,1,9,4
n12_d75_s42,12,0.75,42,2,8,3
n12_d75_s42,12,0.75,42,0,10,6
n12_d75_s42,12,0.75,42,8,10,6
n12_d75_s42,12,0.75,42,0,8,8
n12_d75_s42,12,0.75,42,3,6,3
n12_d75_s42,12,0.75,42,5,10,9
n12_d75_s42,12,0.75,42,1,11,5
n12_d75_s42,12,0.75,42,2,11,1
n12_d75_s42,12,0.75,42,2,9,5
n12_d75_s42,12,0.75,42,5,7,8
n12_d75_s42,12,0.75,42,2,10,1
n12_d75_s42,12,0.75,42,1,4,1
n12_d75_s42,12,0.75,42,10,11,5
n12_d75_s42,12,0.75,42,3,10,3
n12_d75_s42,12,0.75,42,5,8,9
n12_d75_s42,12,0.75,42,3,7,1
n12_d75_s42,12,0.75,42,1,7,8
n12_d75_s42,12,0.75,42,6,10,8
n12_d75_s42,12,0.75,42,2,3,6
n12_d75_s42,12,0.75,42,4,9,3
n12_d75_s42,12,0.75,42,2,5,5
n12_d75_s42,12,0.75,42,6,9,1
n12_d75_s42,12,0.75,42,7,11,3
n12_d75_s42,12,0.75,42,0,3,6
n12_d75_s42,12,0.75,42,1,6,2
n12_d75_s42,12,0.75,42,5,9,1
n12_d75_s42,12,0.75,42,0,1,4
n12_d75_s42,12,0.75,42,1,10,5
n12_d75_s42,12,0.75,42,2,7,6
n12_d75_s42,12,0.75,42,0,2,7
n12_d75_s42,12,0.75,42,6,8,7
n12_d75_s42,12,0.75,42,7,10,1
n12_d75_s42,12,0.75,42,3,11,9
n12_d75_s42,12,0.75,42,0,4,7
n12_d75_s42,12,0.75,42,0,11,6
n12_d75_s42,12,0.75,42,6,11,9
n12_d75_s42,12,0.75,42,1,2,4
n12_d75_s42,12,0.75,42,3,8,2
n12_d75_s42,12,0.75,42,4,11,6
n12_d75_s42,12,0.75,42,9,11,7
n12_d75_s42,12,0.75,42,4,10,8
n12_d75_s42,12,0.75,42,4,8,1
n12_d75_s42,12,0.75,42,2,6,9
n12_d75_s42,12,0.75,42,5,6,7
n12_d75_s42,12,0.75,42,4,5,3
n12_d75_s42,12,0.75,42,0,7,2
n12_d75_s42,12,0.75,42,5,11,6
n12_d75_s42,12,0.75,42,9,10,6
